order_id,user_id,order_number,days_since_prior_order,days_since_first_order,product_id,reordered
2539329,1,1,0,0,196,0
2539329,1,1,0,0,14084,0
2539329,1,1,0,0,12427,0
2539329,1,1,0,0,26088,0
2539329,1,1,0,0,26405,0
2398795,1,2,15,15,196,1
2398795,1,2,15,0,10258,0
2398795,1,2,15,15,12427,1
2398795,1,2,15,0,13176,0
2398795,1,2,15,15,26088,1
2398795,1,2,15,0,13032,0
473747,1,3,21,36,196,1
473747,1,3,21,36,12427,1
473747,1,3,21,36,10258,1
473747,1,3,21,0,25133,0
473747,1,3,21,0,30450,0
2254736,1,4,29,65,196,1
2254736,1,4,29,65,12427,1
2254736,1,4,29,65,10258,1
2254736,1,4,29,65,25133,1
2254736,1,4,29,65,26405,1
431534,1,5,28,93,196,1
431534,1,5,28,93,12427,1
431534,1,5,28,93,10258,1
431534,1,5,28,93,25133,1
431534,1,5,28,0,10326,0
431534,1,5,28,0,17122,0
431534,1,5,28,0,41787,0
431534,1,5,28,93,13176,1
3367565,1,6,19,112,196,1
3367565,1,6,19,112,12427,1
3367565,1,6,19,112,10258,1
3367565,1,6,19,112,25133,1
550135,1,7,20,132,196,1
550135,1,7,20,132,10258,1
550135,1,7,20,132,12427,1
550135,1,7,20,132,25133,1
550135,1,7,20,132,13032,1
3108588,1,8,14,146,12427,1
3108588,1,8,14,146,196,1
3108588,1,8,14,146,10258,1
3108588,1,8,14,146,25133,1
3108588,1,8,14,146,46149,0
3108588,1,8,14,146,49235,0
2295261,1,8,0,146,49235,1
2295261,1,8,0,146,46149,1
2295261,1,8,0,146,25133,1
2295261,1,8,0,146,196,1
2295261,1,8,0,146,10258,1
2295261,1,8,0,146,12427,1
2550362,1,9,30,176,196,1
2550362,1,9,30,176,46149,1
2550362,1,9,30,0,39657,0
2550362,1,9,30,0,38928,0
2550362,1,9,30,176,25133,1
2550362,1,9,30,176,10258,1
2550362,1,9,30,0,35951,0
2550362,1,9,30,176,13032,1
2550362,1,9,30,176,12427,1
2168274,2,1,0,0,32792,0
2168274,2,1,0,0,47766,0
2168274,2,1,0,0,20574,0
2168274,2,1,0,0,12000,0
2168274,2,1,0,0,48110,0
2168274,2,1,0,0,22474,0
2168274,2,1,0,0,16589,0
2168274,2,1,0,0,35917,0
2168274,2,1,0,0,27344,0
2168274,2,1,0,0,30489,0
2168274,2,1,0,0,27966,0
2168274,2,1,0,0,13176,0
2168274,2,1,0,0,45066,0
1501582,2,2,10,0,16797,0
1501582,2,2,10,0,47526,0
1501582,2,2,10,0,8479,0
1501582,2,2,10,10,47766,1
1501582,2,2,10,0,19051,0
1501582,2,2,10,0,8138,0
1901567,2,3,3,13,47766,1
1901567,2,3,3,13,32792,1
1901567,2,3,3,13,20574,1
1901567,2,3,3,0,7781,0
1901567,2,3,3,0,28874,0
738281,2,4,8,0,49451,0
738281,2,4,8,21,32792,1
738281,2,4,8,0,32139,0
738281,2,4,8,0,34688,0
738281,2,4,8,0,36735,0
738281,2,4,8,0,37646,0
738281,2,4,8,0,22829,0
738281,2,4,8,0,24852,0
738281,2,4,8,0,47209,0
738281,2,4,8,0,33276,0
738281,2,4,8,0,45613,0
738281,2,4,8,0,9681,0
738281,2,4,8,0,21150,0
1673511,2,5,8,0,47144,0
1673511,2,5,8,0,5322,0
1673511,2,5,8,0,17224,0
1673511,2,5,8,0,38656,0
1673511,2,5,8,0,21376,0
1673511,2,5,8,0,48210,0
1673511,2,5,8,0,5907,0
1673511,2,5,8,0,14553,0
1673511,2,5,8,0,47553,0
1673511,2,5,8,0,22124,0
1673511,2,5,8,0,19156,0
1673511,2,5,8,0,1559,0
1673511,2,5,8,29,47766,1
1199898,2,6,13,42,32792,1
1199898,2,6,13,42,12000,1
1199898,2,6,13,42,9681,1
1199898,2,6,13,42,32139,1
1199898,2,6,13,0,32052,0
1199898,2,6,13,42,27344,1
1199898,2,6,13,42,24852,1
1199898,2,6,13,42,45066,1
1199898,2,6,13,42,27966,1
1199898,2,6,13,42,47209,1
1199898,2,6,13,42,36735,1
1199898,2,6,13,0,46676,0
