order_id	user_id	order_number	days_since_prior_order	product_id	reordered	days_since_first_order
2539329	1	1	0	196	0	0
2539329	1	1	0	14084	0	0
2539329	1	1	0	12427	0	0
2539329	1	1	0	26088	0	0
2539329	1	1	0	26405	0	0
2398795	1	2	15	196	1	15
2398795	1	2	15	10258	0	0
2398795	1	2	15	12427	1	15
2398795	1	2	15	13176	0	0
2398795	1	2	15	26088	1	15
2398795	1	2	15	13032	0	0
473747	1	3	21	196	1	36
473747	1	3	21	12427	1	36
473747	1	3	21	10258	1	36
473747	1	3	21	25133	0	0
473747	1	3	21	30450	0	0
2254736	1	4	29	196	1	65
2254736	1	4	29	12427	1	65
2254736	1	4	29	10258	1	65
2254736	1	4	29	25133	1	65
2254736	1	4	29	26405	1	65
431534	1	5	28	196	1	93
431534	1	5	28	12427	1	93
431534	1	5	28	10258	1	93
431534	1	5	28	25133	1	93
431534	1	5	28	10326	0	0
431534	1	5	28	17122	0	0
431534	1	5	28	41787	0	0
431534	1	5	28	13176	1	93
3367565	1	6	19	196	1	112
3367565	1	6	19	12427	1	112
3367565	1	6	19	10258	1	112
3367565	1	6	19	25133	1	112
550135	1	7	20	196	1	132
550135	1	7	20	10258	1	132
550135	1	7	20	12427	1	132
550135	1	7	20	25133	1	132
550135	1	7	20	13032	1	132
3108588	1	8	14	12427	1	146
3108588	1	8	14	196	1	146
3108588	1	8	14	10258	1	146
3108588	1	8	14	25133	1	146
3108588	1	8	14	46149	0	146
3108588	1	8	14	49235	0	146
2295261	1	8	0	49235	1	146
2295261	1	8	0	46149	1	146
2295261	1	8	0	25133	1	146
2295261	1	8	0	196	1	146
2295261	1	8	0	10258	1	146
2295261	1	8	0	12427	1	146
2550362	1	9	30	196	1	176
2550362	1	9	30	46149	1	176
2550362	1	9	30	39657	0	0
2550362	1	9	30	38928	0	0
2550362	1	9	30	25133	1	176
2550362	1	9	30	10258	1	176
2550362	1	9	30	35951	0	0
2550362	1	9	30	13032	1	176
2550362	1	9	30	12427	1	176
2168274	2	1	0	32792	0	0
2168274	2	1	0	47766	0	0
2168274	2	1	0	20574	0	0
2168274	2	1	0	12000	0	0
2168274	2	1	0	48110	0	0
2168274	2	1	0	22474	0	0
2168274	2	1	0	16589	0	0
2168274	2	1	0	35917	0	0
2168274	2	1	0	27344	0	0
2168274	2	1	0	30489	0	0
2168274	2	1	0	27966	0	0
2168274	2	1	0	13176	0	0
2168274	2	1	0	45066	0	0
1501582	2	2	10	16797	0	0
1501582	2	2	10	47526	0	0
1501582	2	2	10	8479	0	0
1501582	2	2	10	47766	1	10
